s1,s2,s3,s4,Dr/(CR),s5
101.0,1025.0,0.0,10431.0,-0.46,23993
101.0,1025.0,0.0,10439.0,0.07,23993
101.0,1025.0,0.0,10449.0,0.47,23993
101.0,1025.0,0.0,10458.0,-0.4,23993
101.0,1025.0,0.0,10689.0,0.28,23993
101.0,1025.0,102.0,10449.0,-0.47,23993
101.0,1025.0,102.0,10458.0,0.4,23993
101.0,1025.0,103.0,10423.0,0.3,23993
101.0,1025.0,116.0,13858.0,-606.18985,23993
101.0,1025.0,125.0,10424.0,-0.37,23993
101.0,1025.0,127.0,10449.0,26030.18404999998,23993
101.0,1025.0,128.0,10439.0,-0.07,23993
101.0,1025.0,132.0,10689.0,-0.28,23993
101.0,1025.0,145.0,10422.0,-0.18,23993
101.0,1025.0,145.0,13858.0,-2952.31275,23993
101.0,1025.0,147.0,10426.0,0.004509999999982028,23993
101.0,1025.0,167.0,10429.0,-0.35,23993
101.0,1025.0,195.0,10689.0,-0.003404000000017504,23993
101.0,1025.0,296.0,10691.0,-0.0020000000076834112,23993
101.0,1025.0,321.0,13858.0,40760.21,23993
101.0,1034.0,170.0,10735.0,185726.85,23993
101.0,1037.0,0.0,13005.0,-0.41,23993
101.0,1037.0,0.0,13023.0,0.17,23993
101.0,1037.0,0.0,13030.0,0.35,23993
101.0,1037.0,0.0,13033.0,0.44,23993
101.0,1037.0,0.0,13041.0,0.09,23993
101.0,1037.0,0.0,13078.0,-0.29,23993
101.0,1037.0,0.0,13080.0,-0.37,23993
101.0,1037.0,0.0,13083.0,0.2,23993
101.0,1037.0,0.0,13095.0,0.02,23993
101.0,1037.0,0.0,13152.0,0.37,23993
101.0,1037.0,0.0,13179.0,-0.02,23993
101.0,1037.0,0.0,13185.0,0.17,23993
101.0,1037.0,0.0,13225.0,0.42,23993
101.0,1037.0,0.0,13258.0,-0.22,23993
101.0,1037.0,0.0,13262.0,0.15,23993
101.0,1037.0,0.0,13267.0,0.14,23993
101.0,1037.0,0.0,13274.0,0.41,23993
101.0,1037.0,0.0,13290.0,-0.15,23993
101.0,1037.0,0.0,13309.0,-0.13,23993
101.0,1037.0,105.0,13267.0,-0.14,23993
101.0,1037.0,107.0,13185.0,-0.17,23993
101.0,1037.0,107.0,13290.0,0.15,23993
101.0,1037.0,111.0,13030.0,-0.35,23993
101.0,1037.0,117.0,13080.0,0.37,23993
101.0,1037.0,117.0,13087.0,-37.19,23993
101.0,1037.0,119.0,13005.0,0.41,23993
101.0,1037.0,119.0,13041.0,-0.09,23993
101.0,1037.0,125.0,13083.0,-0.2,23993
101.0,1037.0,127.0,13152.0,-0.37,23993
101.0,1037.0,128.0,13023.0,-0.17,23993
101.0,1037.0,128.0,13225.0,-0.42,23993
101.0,1037.0,128.0,13258.0,0.22,23993
101.0,1037.0,133.0,13262.0,-0.15,23993
101.0,1037.0,137.0,13274.0,-0.41,23993
