s1,s2,s3,s4,Dr/(CR),s5
102.0,1756.0,105.0,17738.0,15667.848909999999,63002
102.0,1756.0,139.0,17733.0,11716.200898,63002
102.0,1756.0,150.0,17734.0,34345.327107000005,63002
102.0,1757.0,105.0,17760.0,5687.038662,63002
102.0,9901.0,105.0,13774.0,693344.7302,63002
102.0,9901.0,105.0,13779.0,20435.281275,63002
102.0,9901.0,105.0,13862.0,306949.33775999997,63002
102.0,9901.0,105.0,99105.0,33.847908000000004,63002
102.0,9901.0,130.0,13775.0,240479.27169999998,63002
102.0,9901.0,130.0,13781.0,-17015.241435,63002
102.0,9901.0,130.0,13862.0,176297.230545,63002
102.0,9901.0,135.0,13778.0,164964.7386,63002
102.0,9901.0,135.0,13782.0,-14339.026829999999,63002
102.0,9901.0,135.0,13862.0,88150.38339,63002
102.0,9901.0,135.0,99135.0,-942.5761299999999,63002
102.0,9901.0,139.0,13776.0,498153.4162,63002
102.0,9901.0,139.0,13783.0,27136.501245000007,63002
102.0,9901.0,139.0,13862.0,224251.87772999998,63002
102.0,9901.0,139.0,99139.0,-6139.131611999999,63002
102.0,9901.0,150.0,13771.0,3359270.8502999996,63002
102.0,9901.0,150.0,13784.0,224599.51491,63002
102.0,9901.0,150.0,13862.0,1343895.4879349999,63002
102.0,9901.0,150.0,99150.0,7978.051956,63002
102.0,9901.0,151.0,13772.0,336280.9948,63002
102.0,9901.0,151.0,13785.0,51158.212499999994,63002
102.0,9901.0,151.0,13862.0,43575.592334999994,63002
103.0,1304.0,304.0,13301.0,0.0007,63002
103.0,9901.0,304.0,13611.0,11830.72875,63002
104.0,1008.0,120.0,10074.0,-667.9672499999999,63002
104.0,1008.0,120.0,13854.0,27605.163,63002
104.0,1009.0,120.0,10082.0,-228.2143,63002
104.0,1012.0,120.0,10136.0,-413.98504999999994,63002
104.0,1012.0,120.0,13855.0,-0.00255,63002
104.0,1021.0,120.0,10381.0,91.92479999999999,63002
104.0,1025.0,120.0,10465.0,-547.86745,63002
104.0,1025.0,120.0,13858.0,39528.004250000005,63002
104.0,1303.0,120.0,13077.0,-0.0015,63002
104.0,1306.0,120.0,13183.0,-0.00105,63002
104.0,1309.0,120.0,13617.0,-12719.67295,63002
104.0,1309.0,120.0,13717.0,87595.1068,63002
104.0,1401.0,120.0,14142.0,105.54005000000001,63002
104.0,1405.0,120.0,13856.0,667.7766000000001,63002
104.0,1405.0,120.0,14046.0,-119.41064999999999,63002
104.0,1411.0,120.0,14133.0,-9.3164,63002
104.0,1711.0,120.0,17066.0,156.98055,63002
104.0,1712.0,120.0,13859.0,24263.08845,63002
104.0,1712.0,120.0,17087.0,397.44675,63002
104.0,1732.0,120.0,13857.0,33058.609899999996,63002
104.0,1732.0,120.0,17403.0,-710.82745,63002
104.0,9901.0,120.0,13339.0,-0.0535,63002
104.0,9901.0,120.0,13794.0,3006404.4023,63002
104.0,9901.0,120.0,13862.0,4051104.86375,63002
104.0,9901.0,120.0,99120.0,3055.2090999999996,63002
105.0,9901.0,111.0,13608.0,-50.70425,63002
